"Number","Sample.x","SiO2 (%)","TiO2","Al2O3","Fe2O3","FeO","Fe","MnO","Mn","MgO","CaO","Na2O","K2O","P2O5","SO3","C","CO2","LOI","H2O","Cl","Total","Li","Be","Rb","Sr","Cs","Ba","B","Br","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","Ge","As","Y","Zr","Nb","Mo","Ag","Cd","Sn","Sb","Te","Hf","Ta","W","Au","Hg","Tl","Pb","Bi","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Fe/Mn","Ref","Type","Fe_species","Mn_species","Locality","Age","method","Notes","Sample.y","Formation","Pathway"
4937,"aegis_post_2730b","39.4",0.85,8.1,NA,21.4,16.63,"0.18",0.14,12,"2.5","2.67","0.6",NA,NA,NA,NA,NA,NA,NA,87.7,"13.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_2730b","Gale crater","Gale crater"
4938,"Chalifornia","39.1",0.86,6.9,NA,22.6,17.57,"0.19",0.15,10,"6.1","2.27","0.47",NA,NA,NA,NA,NA,NA,NA,88.49,"14.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chalifornia","Gale crater","Gale crater"
4939,"Chalifornia","39",0.84,8,NA,24,18.66,"3.09",2.39,9,"4.4","2.53","0.55",NA,NA,NA,NA,NA,NA,NA,91.41,"14.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chalifornia","Gale crater","Gale crater"
4940,"Chalifornia","37.4",0.87,7.3,NA,23.2,18.03,"1.73",1.34,11.5,"3.1","1.9","0.28",NA,NA,NA,NA,NA,NA,NA,87.28,"12.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chalifornia","Gale crater","Gale crater"
4941,"Chalifornia","43.2",0.88,10.8,NA,21.2,16.48,"0.16",0.12,8,"4","3.1","0.94",NA,NA,NA,NA,NA,NA,NA,92.28,"12.9",NA,NA,"155.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chalifornia","Gale crater","Gale crater"
4942,"Chalifornia","40.6",0.87,8.3,NA,21.1,16.4,"0.21",0.16,12.4,"4.1","2.22","0.49",NA,NA,NA,NA,NA,NA,NA,90.29,"17.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chalifornia","Gale crater","Gale crater"
4943,"Dava","48.6",0.82,13.4,NA,17.8,13.84,"0.17",0.13,7.4,"6.5","3.62","0.44",NA,NA,NA,NA,NA,NA,NA,98.75,"15.2",NA,NA,"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Dava","Gale crater","Gale crater"
4944,"Dava","41.7",1.04,11.5,NA,21.2,16.48,"0.14",0.11,6.4,"6.8","3.23","0.56",NA,NA,NA,NA,NA,NA,NA,92.57,"18.7",NA,NA,"155.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Dava","Gale crater","Gale crater"
4945,"Dava","46.4",0.91,9.9,NA,18.9,14.69,"0.13",0.1,9.6,"5","3.11","0.71",NA,NA,NA,NA,NA,NA,NA,94.66,"11.8",NA,"88.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Dava","Gale crater","Gale crater"
4946,"Fogo","46.5",0.8,6.8,NA,19.5,15.16,"0.2",0.15,14.4,"4.6","1.94","0.16",NA,NA,NA,NA,NA,NA,NA,94.9,"15.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
