"Number","Sample.x","SiO2 (%)","TiO2","Al2O3","Fe2O3","FeO","Fe","MnO","Mn","MgO","CaO","Na2O","K2O","P2O5","SO3","C","CO2","LOI","H2O","Cl","Total","Li","Be","Rb","Sr","Cs","Ba","B","Br","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","Ge","As","Y","Zr","Nb","Mo","Ag","Cd","Sn","Sb","Te","Hf","Ta","W","Au","Hg","Tl","Pb","Bi","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Fe/Mn","Ref","Type","Fe_species","Mn_species","Locality","Age","method","Notes","Sample.y","Formation","Pathway"
1,"ANK9","7.81",0.14,4.62,68.91,NA,NA,"0.48",NA,0.78,"1.2","0.1","0.18","2.01","0.4",NA,NA,"12.78",NA,NA,99.41,NA,NA,NA,"110.6",NA,"74.03",NA,NA,"11.1","802.7","114.4","112.2","239.6","10.67","445.9",NA,NA,35.46,"83.22","56.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.67",NA,NA,NA,26,206,"14.2","79",18.66,4.57,18.43,"3.24",17.76,"4.22",11.71,1.66,11.12,1.75,129.66,1,"Oolitic Ironstone","oxide","oxide","Jebel Ank,Tunisia","Late Eocene","AAS, ICP-MS",NA,"ANK9",NA,NA
2,"ANK10","7.77",0.14,4.6,69.48,NA,NA,"0.49",NA,0.79,"1.21","0.1","0.18","2.03","0.38",NA,NA,"12.89",NA,NA,100.06,NA,NA,NA,"123.5",NA,"66.83",NA,NA,"12.33","912.6","118","137.8","245.2","15.02","466",NA,NA,37.01,"91.6","62.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.09",NA,NA,NA,32.8,211.8,"16.39","78.14",18.58,4.52,19.8,"3.35",18.92,"4.29",12.58,1.71,11.59,1.84,128.06,1,"Oolitic Ironstone","oxide","oxide","Jebel Ank,Tunisia","Late Eocene","AAS, ICP-MS",NA,"ANK10",NA,NA
3,"ANK11","7.67",0.12,5.07,69.44,NA,NA,"0.68",NA,0.8,"1.11","0.1","0.16","1.89","0.25",NA,NA,"12.76",NA,NA,100.05,NA,NA,NA,"93.04",NA,"58.89",NA,NA,"14.67","948.9","116.5","149.3","253.4","17.11","453.6",NA,NA,38.78,"92.4","67.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.56",NA,NA,NA,37.11,226.4,"17.34","81.73",18.43,4.68,19.65,"3.21",18.88,"4.45",12.96,1.79,11.26,1.84,92.23,1,"Oolitic Ironstone","oxide","oxide","Jebel Ank,Tunisia","Late Eocene","AAS, ICP-MS",NA,"ANK11",NA,NA
4,"ANK12","8.2",0.16,6.12,66.88,NA,NA,"0.55",NA,0.79,"0.89","0.12","0.11","2.02","0.37",NA,NA,"13.56",NA,NA,99.77,NA,NA,NA,"98.29",NA,"64.11",NA,NA,"15.09","584.2","110.2","92.82","228.7","22.67","337.3",NA,NA,10.62,"73.12","76.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.23",NA,NA,NA,27.33,192.9,"13.82","67.36",15.66,4.02,17.27,"2.81",16.21,"4.1",10.75,1.61,10.34,1.59,109.82,1,"Oolitic Ironstone","oxide","oxide","Jebel Ank,Tunisia","Late Eocene","AAS, ICP-MS",NA,"ANK12",NA,NA
5,"GL-1-W",NA,NA,NA,NA,NA,15.5,NA,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"220","338","13","1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-W","Freshwater","Freshwater"
6,"GL-1-X",NA,NA,NA,NA,NA,20.9,NA,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"202","243","12","1575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-X","Freshwater","Freshwater"
7,"GL-1-X",NA,NA,NA,NA,NA,20.9,NA,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","230","8","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-X","Freshwater","Freshwater"
8,"GL-1-Y",NA,NA,NA,NA,NA,18.6,NA,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","215","10","1575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-Y","Freshwater","Freshwater"
9,"GL-1-YA",NA,NA,NA,NA,NA,18.7,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","215","10","1575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-YA","Freshwater","Freshwater"
10,"GL-1-Z",NA,NA,NA,NA,NA,19.3,NA,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","215","10","1340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-Z","Freshwater","Freshwater"
11,"GL-1-C1(10)",NA,NA,NA,NA,NA,18.1,NA,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","373","16","1850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-C1(10)","Freshwater","Freshwater"
12,"GL-1-C2(10)",NA,NA,NA,NA,NA,17.8,NA,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"202","272","16","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-C2(10)","Freshwater","Freshwater"
13,"GL-2-Y",NA,NA,NA,NA,NA,16.8,NA,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-2-Y","Freshwater","Freshwater"
14,"GL-2-Z",NA,NA,NA,NA,NA,14.6,NA,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"212","373","14","1875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-2-Z","Freshwater","Freshwater"
15,"GL-2-C1(9)",NA,NA,NA,NA,NA,14.2,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"183","238","11","1575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-2-C1(9)","Freshwater","Freshwater"
16,"GL-2-C1B(9)",NA,NA,NA,NA,NA,14.2,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","238","10","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-2-C1B(9)","Freshwater","Freshwater"
17,"GL-4-Z",NA,NA,NA,NA,NA,16.3,NA,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-4-Z","Freshwater","Freshwater"
18,"GL-4-C1(5)",NA,NA,NA,NA,NA,14.7,NA,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"202","316","13","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-4-C1(5)","Freshwater","Freshwater"
19,"SH-1-X",NA,NA,NA,NA,NA,11.7,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230","125","9","536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,2,"Lacustrine ferromanganese concretion","oxide","oxide","Ship Harbor Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"SH-1-X","Freshwater","Freshwater"
20,"SH-1-Y",NA,NA,NA,NA,NA,20,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230","149","8","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,2,"Lacustrine ferromanganese concretion","oxide","oxide","Ship Harbor Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"SH-1-Y","Freshwater","Freshwater"
21,"SH-1-Z",NA,NA,NA,NA,NA,15.7,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"212","149","8","518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,2,"Lacustrine ferromanganese concretion","oxide","oxide","Ship Harbor Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"SH-1-Z","Freshwater","Freshwater"
22,"SH-1-ZA",NA,NA,NA,NA,NA,15.7,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"220","149","8","536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,2,"Lacustrine ferromanganese concretion","oxide","oxide","Ship Harbor Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"SH-1-ZA","Freshwater","Freshwater"
23,"SH-1-C1(16)",NA,NA,NA,NA,NA,16.9,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"220","107","6","467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,2,"Lacustrine ferromanganese concretion","oxide","oxide","Ship Harbor Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"SH-1-C1(16)","Freshwater","Freshwater"
24,"ML-1-Z",NA,NA,NA,NA,NA,39.8,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,2,"Lacustrine ferromanganese concretion","oxide","oxide","Mosque Lake, Ontario, Canada",NA,"whole rock XRF, AAS",NA,"ML-1-Z","Freshwater","Freshwater"
25,"ML-1-C1(16)",NA,NA,NA,NA,NA,40.2,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135","95","10","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56,2,"Lacustrine ferromanganese concretion","oxide","oxide","Mosque Lake, Ontario, Canada",NA,"whole rock XRF, AAS",NA,"ML-1-C1(16)","Freshwater","Freshwater"
26,"BB1","48.9",2.16,13.72,13.4,NA,NA,"6.93",NA,0.19,"10.99","2.46","0.16","0.16",NA,NA,NA,"0.6",NA,NA,99.07,"4466",606,"956","208,500","8","50,840",NA,NA,NA,NA,NA,NA,NA,NA,"104.64",NA,NA,NA,NA,NA,"9262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8587,21800,"3250","15,510",4448,1592,5264,"850",5083,"1028",2688,379,2290,321,1.75,34,"Laterite Unaltered basalt","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB1",NA,NA
27,"BB2","50.06",2.29,14.15,12.63,NA,NA,"5.99",NA,0.22,"11.45","2.78","0.25","0.19",NA,NA,NA,"0.72",NA,NA,100.01,"5159",632,"5678","227,600","221","92,870",NA,NA,NA,NA,NA,NA,NA,NA,"113.15",NA,NA,NA,NA,NA,"10,200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,10310,24700,"3729","17,760",5035,1786,6039,"968",5758,"1170",3047,425,2556,360,1.9,34,"Laterite Basalt with minor alterations","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB2",NA,NA
28,"BB3","38.59",5.11,31.54,24.1,NA,NA,"0.4",NA,0.11,"0.19","n.d.","0.02","0.18",NA,NA,NA,"11.7",NA,NA,100.24,"7019",2435,"1165","13,750","114","59,310",NA,NA,NA,NA,NA,NA,NA,NA,"114.03",NA,NA,NA,NA,NA,"18,940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,31320,25510,"16,140","74,510",NA,NA,NA,"12,620",NA,"21,860",NA,9016,NA,8079,54.41,34,"Laterite Deeply weathered basalt (saprolite)","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB3",NA,NA
29,"BB4","38.78",4.78,31.95,21.64,NA,NA,"0.38",NA,0.06,"1.91","n.d.","0.01","0.03",NA,NA,NA,"12.4",NA,NA,99.54,"3736",1289,"335","23,690","68","10,600",NA,NA,NA,NA,NA,NA,NA,NA,"80.1",NA,NA,NA,NA,NA,"18,600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,4642,15510,"1724","7240",1717,490,1657,"288",1791,"365",1022,162,1087,155,51.43,34,"Laterite Reddened saprolite","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB4",NA,NA
30,"BB5","30.61",5.76,25.83,36.95,NA,NA,"0.23",NA,0.06,"0.07","n.d.","0.02","0.08",NA,NA,NA,"11.1",NA,NA,99.61,"4271",1319,"811","6022","102","16,260",NA,NA,NA,NA,NA,NA,NA,NA,"52.57",NA,NA,NA,NA,NA,"23,480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,9357,21650,"4044","17,300",4166,1134,3688,"620",3642,"712",1956,310,2003,280,145.09,34,"Laterite Saprolitised basalt (grey/blue colour)","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB5",NA,NA
31,"BB6","6.12",1.4,6.97,84.81,NA,NA,"0.14",NA,0.03,"0","n.d.","0","0.33",NA,NA,NA,"11.1",NA,NA,99.8,"1202",3814,"321","46,070","37","24,810",NA,NA,NA,NA,NA,NA,NA,NA,"224.59",NA,NA,NA,NA,NA,"5646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,35770,119200,"8776","32,630",7276,1832,5340,"860",4878,"926",2614,440,3089,425,547.1,34,"Laterite Base of laterite/top of saprolite","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB6",NA,NA
32,"BB7","36.68",2.44,31.3,27.7,NA,NA,"0.26",NA,0.33,"0.05","n.d.","0.03","0.07",NA,NA,NA,"11.4",NA,NA,98.86,"13,230",859,"1524","15,490","142","398,600",NA,NA,NA,NA,NA,NA,NA,NA,"51.83",NA,NA,NA,NA,NA,"14,490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,NA,NA,NA,NA,26390,285000,"4007","11,510",1901,464,1444,"274",1516,"300",848,137,933,131,96.22,34,"Laterite Base of laterite","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB7",NA,NA
33,"BB8","31.35",2.33,27.22,38.37,NA,NA,"0.1",NA,0.07,"0","n.d.","0.07","0.08",NA,NA,NA,"11.1",NA,NA,99.59,"19,960",1080,"3996","9748","407","17,800",NA,NA,NA,NA,NA,NA,NA,NA,"69.33",NA,NA,NA,NA,NA,"16,900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,13080,27490,"2590","8986",1885,490,1627,"297",1856,"385",1137,189,1297,188,346.53,34,"Laterite Vermiform laterite","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB8",NA,NA
34,"BB9","9.59",2.03,9.85,77.53,NA,NA,"0.16",NA,0.23,"0.04","n.d.","0.03","0.12",NA,NA,NA,"7.31",NA,NA,99.58,"7304",718,"1332","9974","98","153,400",NA,NA,NA,NA,NA,NA,NA,NA,"31.83",NA,NA,NA,NA,NA,"14,030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,6333,53920,"1569","5757",1264,320,1009,"181",1091,"220",627,103,707,99,437.62,34,"Laterite Nodular laterite","oxide",NA,"Bidar, India",NA,"whole rock XRF, ICPMS",NA,"BB9",NA,NA
35,"ChQA1","40.91",2.97,13.19,17.18,1.71,NA,"0.21",NA,2.3,"2.62","0.55","0.27","0.25",NA,NA,NA,"18.41",NA,NA,98.86,"5704",775,"10,860","94,860","267","59,970",NA,NA,NA,NA,NA,NA,NA,NA,"130.95",NA,NA,NA,NA,NA,"13,180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,13550,34980,"4998","22,620",6081,1969,6750,"1092",6525,"1313",3516,502,3112,427,73.88,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA1",NA,NA
36,"ChQA2","41.7",3.03,12.46,18.21,1.51,NA,"0.25",NA,2.45,"2.47","0.43","0.36","0.26",NA,NA,NA,"17",NA,NA,98.61,"6372",855,"12,050","87,130","263","59,280",NA,NA,NA,NA,NA,NA,NA,NA,"134.06",NA,NA,NA,NA,NA,"13,900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,17020,38790,"6149","27,900",7479,2404,8345,"1333",7847,"1559",4085,574,3503,476,65.78,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA2",NA,NA
37,"ChQA3","41.02",3.1,12.5,18.39,1.81,NA,"0.26",NA,2.43,"2.2","0.26","0.41","0.24",NA,NA,NA,"17.9",NA,NA,98.71,"6893",856,"15,800","71,690","357","56,570",NA,NA,NA,NA,NA,NA,NA,NA,"137.3",NA,NA,NA,NA,NA,"14,130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,15250,37270,"5290","23,880",6395,1958,7248,"1158",6916,"1391",3666,517,3168,437,63.88,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA3",NA,NA
38,"ChQA4","42",3.03,12.28,17.59,1.71,NA,"0.21",NA,2.69,"2.23","0.22","0.43","0.24",NA,NA,NA,"17.85",NA,NA,98.78,"8006",1013,"15,730","81,900","274","64,120",NA,NA,NA,NA,NA,NA,NA,NA,"130.38",NA,NA,NA,NA,NA,"14,050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,16040,37430,"5747","26,050",6966,2200,7737,"1234",7167,"1413",3666,513,3088,417,75.65,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA4",NA,NA
39,"ChQA5","41.99",3.1,12.66,17.65,1.64,NA,"0.15",NA,2.68,"1.91","0.02","0.58","0.21",NA,NA,NA,"17.9",NA,NA,98.86,"6533",966,"22,800","55,070","485","43,630",NA,NA,NA,NA,NA,NA,NA,NA,"117.9",NA,NA,NA,NA,NA,"13,920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,14300,33820,"5107","22,890",6075,1717,6520,"1043",6100,"1204",3180,448,2783,378,106.27,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA5",NA,NA
40,"ChQA6","41.38",2.92,12.87,16.97,1.47,NA,"0.22",NA,2.72,"1.97","n.d.","0.42","0.19",NA,NA,NA,"18.95",NA,NA,98.59,"5848",901,"16,430","65,040","321","67,110",NA,NA,NA,NA,NA,NA,NA,NA,"121.01",NA,NA,NA,NA,NA,"13,350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,13480,38470,"4893","22,200",5961,1694,6412,"1043",6083,"1208",3193,459,2870,393,69.66,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA6",NA,NA
41,"ChQA7","41.23",2.91,13.08,16.5,1.24,NA,"0.27",NA,2.94,"2.05","n.d.","0.25","0.23",NA,NA,NA,"19.12",NA,NA,98.57,"5279",820,"9251","58,590","130","65,600",NA,NA,NA,NA,NA,NA,NA,NA,"135.96",NA,NA,NA,NA,NA,"13,100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,17270,45310,"6398","28,810",7656,2082,8106,"1290",7476,"1473",3884,553,3395,464,55.19,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA7",NA,NA
42,"ChQA8","41.72",2.91,12.86,17.04,1.37,NA,"0.22",NA,2.94,"1.9","n.d.","0.32","0.16",NA,NA,NA,"18.58",NA,NA,98.58,"5899",818,"13,770","50,270","337","44,470",NA,NA,NA,NA,NA,NA,NA,NA,"136.12",NA,NA,NA,NA,NA,"13,620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,14070,39900,"5074","22,700",6039,1628,6401,"1031",6074,"1216",3260,476,3024,424,69.95,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA8",NA,NA
43,"ChQA9","41.98",3.04,13.23,16.59,1.38,NA,"0.25",NA,3.01,"1.88","n.d.","0.33","0.17",NA,NA,NA,"18.07",NA,NA,98.56,"5066",803,"13,240","42,330","281","34,010",NA,NA,NA,NA,NA,NA,NA,NA,"144.93",NA,NA,NA,NA,NA,"13,910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,13160,56790,"4803","21,390",5648,1451,5907,"947",5550,"1097",2911,422,2702,374,59.93,34,"Laterite lower flow","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA9",NA,NA
