Number,Sample,SiO2 (%),TiO2,Al2O3,Fe2O3,FeO,Fe,MnO,Mn,MgO,CaO,Na2O,K2O,P2O5,SO3,C,CO2,LOI,H2O,Cl,Total,Li,Be,Rb,Sr,Cs,Ba,B,Br,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Te,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Fe/Mn,Ref,Type,Fe_species,Mn_species,Locality,Age,method,Notes
1,ANK9,7.81,0.14,4.62,68.91,,,0.48,,0.78,1.2,0.1,0.18,2.01,0.4,,,12.78,,,99.41,,,,110.6,,74.03,,,11.1,802.7,114.4,112.2,239.6,10.67,445.9,,,35.46,83.22,56.04,,,,,,,,,,,,,,18.67,,,,26,206,14.2,79,18.66,4.57,18.43,3.24,17.76,4.22,11.71,1.66,11.12,1.75,129.66,1,Oolitic Ironstone,oxide,oxide,"Jebel Ank,Tunisia",Late Eocene,"AAS, ICP-MS",
2,ANK10,7.77,0.14,4.6,69.48,,,0.49,,0.79,1.21,0.1,0.18,2.03,0.38,,,12.89,,,100.06,,,,123.5,,66.83,,,12.33,912.6,118,137.8,245.2,15.02,466,,,37.01,91.6,62.73,,,,,,,,,,,,,,24.09,,,,32.8,211.8,16.39,78.14,18.58,4.52,19.8,3.35,18.92,4.29,12.58,1.71,11.59,1.84,128.06,1,Oolitic Ironstone,oxide,oxide,"Jebel Ank,Tunisia",Late Eocene,"AAS, ICP-MS",
3,ANK11,7.67,0.12,5.07,69.44,,,0.68,,0.8,1.11,0.1,0.16,1.89,0.25,,,12.76,,,100.05,,,,93.04,,58.89,,,14.67,948.9,116.5,149.3,253.4,17.11,453.6,,,38.78,92.4,67.15,,,,,,,,,,,,,,33.56,,,,37.11,226.4,17.34,81.73,18.43,4.68,19.65,3.21,18.88,4.45,12.96,1.79,11.26,1.84,92.23,1,Oolitic Ironstone,oxide,oxide,"Jebel Ank,Tunisia",Late Eocene,"AAS, ICP-MS",
4,ANK12,8.2,0.16,6.12,66.88,,,0.55,,0.79,0.89,0.12,0.11,2.02,0.37,,,13.56,,,99.77,,,,98.29,,64.11,,,15.09,584.2,110.2,92.82,228.7,22.67,337.3,,,10.62,73.12,76.45,,,,,,,,,,,,,,36.23,,,,27.33,192.9,13.82,67.36,15.66,4.02,17.27,2.81,16.21,4.1,10.75,1.61,10.34,1.59,109.82,1,Oolitic Ironstone,oxide,oxide,"Jebel Ank,Tunisia",Late Eocene,"AAS, ICP-MS",
5,GL-1-W,,,,,,15.5,,35.9,,,,,,,,,,,,,,,,,,,,,,,,220,338,13,1940,,,,,,,,,,,,,,,,,0.05,,25,,,,,,,,,,,,,,,,,,0.43,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
6,GL-1-X,,,,,,20.9,,34.9,,,,,,,,,,,,,,,,,,,,,,,,202,243,12,1575,,,,,,,,,,,,,,,,,0.034,,24,,,,,,,,,,,,,,,,,,0.6,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
7,GL-1-X,,,,,,20.9,,34.9,,,,,,,,,,,,,,,,,,,,,,,,192,230,8,1500,,,,,,,,,,,,,,,,,0.037,,28,,,,,,,,,,,,,,,,,,0.6,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
8,GL-1-Y,,,,,,18.6,,33.7,,,,,,,,,,,,,,,,,,,,,,,,192,215,10,1575,,,,,,,,,,,,,,,,,0.046,,26,,,,,,,,,,,,,,,,,,0.55,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
9,GL-1-YA,,,,,,18.7,,34,,,,,,,,,,,,,,,,,,,,,,,,192,215,10,1575,,,,,,,,,,,,,,,,,0.046,,26,,,,,,,,,,,,,,,,,,0.55,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
10,GL-1-Z,,,,,,19.3,,33.4,,,,,,,,,,,,,,,,,,,,,,,,192,215,10,1340,,,,,,,,,,,,,,,,,0.04,,25,,,,,,,,,,,,,,,,,,0.58,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
11,GL-1-C1(10),,,,,,18.1,,34.2,,,,,,,,,,,,,,,,,,,,,,,,192,373,16,1850,,,,,,,,,,,,,,,,,0.064,,26,,,,,,,,,,,,,,,,,,0.53,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
12,GL-1-C2(10),,,,,,17.8,,32.4,,,,,,,,,,,,,,,,,,,,,,,,202,272,16,1650,,,,,,,,,,,,,,,,,0.04,,28,,,,,,,,,,,,,,,,,,0.55,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
13,GL-2-Y,,,,,,16.8,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
14,GL-2-Z,,,,,,14.6,,33.6,,,,,,,,,,,,,,,,,,,,,,,,212,373,14,1875,,,,,,,,,,,,,,,,,0.044,,13,,,,,,,,,,,,,,,,,,0.43,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
15,GL-2-C1(9),,,,,,14.2,,31.7,,,,,,,,,,,,,,,,,,,,,,,,183,238,11,1575,,,,,,,,,,,,,,,,,0.034,,28,,,,,,,,,,,,,,,,,,0.45,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
16,GL-2-C1B(9),,,,,,14.2,,31.7,,,,,,,,,,,,,,,,,,,,,,,,192,238,10,1650,,,,,,,,,,,,,,,,,0.05,,29,,,,,,,,,,,,,,,,,,0.45,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
17,GL-4-Z,,,,,,16.3,,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
18,GL-4-C1(5),,,,,,14.7,,32.2,,,,,,,,,,,,,,,,,,,,,,,,202,316,13,1500,,,,,,,,,,,,,,,,,0.056,,19,,,,,,,,,,,,,,,,,,0.46,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
19,SH-1-X,,,,,,11.7,,25.5,,,,,,,,,,,,,,,,,,,,,,,,230,125,9,536,,,,,,,,,,,,,,,,,0.05,,19,,,,,,,,,,,,,,,,,,0.46,2,Lacustrine ferromanganese concretion,oxide,oxide,"Ship Harbor Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
20,SH-1-Y,,,,,,20,,28.3,,,,,,,,,,,,,,,,,,,,,,,,230,149,8,500,,,,,,,,,,,,,,,,,0.067,,19,,,,,,,,,,,,,,,,,,0.71,2,Lacustrine ferromanganese concretion,oxide,oxide,"Ship Harbor Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
21,SH-1-Z,,,,,,15.7,,28.1,,,,,,,,,,,,,,,,,,,,,,,,212,149,8,518,,,,,,,,,,,,,,,,,0.04,,28,,,,,,,,,,,,,,,,,,0.56,2,Lacustrine ferromanganese concretion,oxide,oxide,"Ship Harbor Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
22,SH-1-ZA,,,,,,15.7,,28.1,,,,,,,,,,,,,,,,,,,,,,,,220,149,8,536,,,,,,,,,,,,,,,,,0.014,,10,,,,,,,,,,,,,,,,,,0.56,2,Lacustrine ferromanganese concretion,oxide,oxide,"Ship Harbor Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
23,SH-1-C1(16),,,,,,16.9,,26.5,,,,,,,,,,,,,,,,,,,,,,,,220,107,6,467,,,,,,,,,,,,,,,,,0.021,,28,,,,,,,,,,,,,,,,,,0.64,2,Lacustrine ferromanganese concretion,oxide,oxide,"Ship Harbor Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
24,ML-1-Z,,,,,,39.8,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,2,Lacustrine ferromanganese concretion,oxide,oxide,"Mosque Lake, Ontario, Canada",,"whole rock XRF, AAS",
25,ML-1-C1(16),,,,,,40.2,,15.7,,,,,,,,,,,,,,,,,,,,,,,,135,95,10,250,,,,,,,,,,,,,,,,,0.03,,24,,,,,,,,,,,,,,,,,,2.56,2,Lacustrine ferromanganese concretion,oxide,oxide,"Mosque Lake, Ontario, Canada",,"whole rock XRF, AAS",
26,BB1,48.9,2.16,13.72,13.4,,,6.93,,0.19,10.99,2.46,0.16,0.16,,,,0.6,,,99.07,4466,606,956,"208,500",8,"50,840",,,,,,,,,104.64,,,,,,9262,,,,,,,,,,,,3,,,,,8587,"21,800",3250,"15,510",4448,1592,5264,850,5083,1028,2688,379,2290,321,1.75,"3,4",Laterite Unaltered basalt,oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
27,BB2,50.06,2.29,14.15,12.63,,,5.99,,0.22,11.45,2.78,0.25,0.19,,,,0.72,,,100.01,5159,632,5678,"227,600",221,"92,870",,,,,,,,,113.15,,,,,,"10,200",,,,,,,,,,,,24,,,,,"10,310","24,700",3729,"17,760",5035,1786,6039,968,5758,1170,3047,425,2556,360,1.9,"3,4",Laterite Basalt with minor alterations,oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
28,BB3,38.59,5.11,31.54,24.1,,,0.4,,0.11,0.19,n.d.,0.02,0.18,,,,11.7,,,100.24,7019,2435,1165,"13,750",114,"59,310",,,,,,,,,114.03,,,,,,"18,940",,,,,,,,,,,,8,,,,,"31,320","25,510","16,140","74,510","28,320","12,010","62,890","12,620","91,420","21,860","63,010",9016,"53,590",8079,54.41,"3,4",Laterite Deeply weathered basalt (saprolite),oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
29,BB4,38.78,4.78,31.95,21.64,,,0.38,,0.06,1.91,n.d.,0.01,0.03,,,,12.4,,,99.54,3736,1289,335,"23,690",68,"10,600",,,,,,,,,80.1,,,,,,"18,600",,,,,,,,,,,,16,,,,,4642,"15,510",1724,7240,1717,490,1657,288,1791,365,1022,162,1087,155,51.43,"3,4",Laterite Reddened saprolite,oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
30,BB5,30.61,5.76,25.83,36.95,,,0.23,,0.06,0.07,n.d.,0.02,0.08,,,,11.1,,,99.61,4271,1319,811,6022,102,"16,260",,,,,,,,,52.57,,,,,,"23,480",,,,,,,,,,,,29,,,,,9357,"21,650",4044,"17,300",4166,1134,3688,620,3642,712,1956,310,2003,280,145.09,"3,4",Laterite Saprolitised basalt (grey/blue colour),oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
31,BB6,6.12,1.4,6.97,84.81,,,0.14,,0.03,0,n.d.,0,0.33,,,,11.1,,,99.8,1202,3814,321,"46,070",37,"24,810",,,,,,,,,224.59,,,,,,5646,,,,,,,,,,,,7,,,,,"35,770","119,200",8776,"32,630",7276,1832,5340,860,4878,926,2614,440,3089,425,547.1,"3,4",Laterite Base of laterite/top of saprolite,oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
32,BB7,36.68,2.44,31.3,27.7,,,0.26,,0.33,0.05,n.d.,0.03,0.07,,,,11.4,,,98.86,"13,230",859,1524,"15,490",142,"398,600",,,,,,,,,51.83,,,,,,"14,490",,,,,,,,,,,,272,,,,,"26,390","285,000",4007,"11,510",1901,464,1444,274,1516,300,848,137,933,131,96.22,"3,4",Laterite Base of laterite,oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
33,BB8,31.35,2.33,27.22,38.37,,,0.1,,0.07,0,n.d.,0.07,0.08,,,,11.1,,,99.59,"19,960",1080,3996,9748,407,"17,800",,,,,,,,,69.33,,,,,,"16,900",,,,,,,,,,,,43,,,,,"13,080","27,490",2590,8986,1885,490,1627,297,1856,385,1137,189,1297,188,346.53,"3,4",Laterite Vermiform laterite,oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
34,BB9,9.59,2.03,9.85,77.53,,,0.16,,0.23,0.04,n.d.,0.03,0.12,,,,7.31,,,99.58,7304,718,1332,9974,98,"153,400",,,,,,,,,31.83,,,,,,"14,030",,,,,,,,,,,,140,,,,,6333,"53,920",1569,5757,1264,320,1009,181,1091,220,627,103,707,99,437.62,"3,4",Laterite Nodular laterite,oxide,,"Bidar, India",,"whole rock XRF, ICPMS",
35,ChQA1,40.91,2.97,13.19,17.18,1.71,,0.21,,2.3,2.62,0.55,0.27,0.25,,,,18.41,,,98.86,5704,775,"10,860","94,860",267,"59,970",,,,,,,,,130.95,,,,,,"13,180",,,,,,,,,,,,27,,,,,"13,550","34,980",4998,"22,620",6081,1969,6750,1092,6525,1313,3516,502,3112,427,73.88,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
36,ChQA2,41.7,3.03,12.46,18.21,1.51,,0.25,,2.45,2.47,0.43,0.36,0.26,,,,17,,,98.61,6372,855,"12,050","87,130",263,"59,280",,,,,,,,,134.06,,,,,,"13,900",,,,,,,,,,,,32,,,,,"17,020","38,790",6149,"27,900",7479,2404,8345,1333,7847,1559,4085,574,3503,476,65.78,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
37,ChQA3,41.02,3.1,12.5,18.39,1.81,,0.26,,2.43,2.2,0.26,0.41,0.24,,,,17.9,,,98.71,6893,856,"15,800","71,690",357,"56,570",,,,,,,,,137.3,,,,,,"14,130",,,,,,,,,,,,38,,,,,"15,250","37,270",5290,"23,880",6395,1958,7248,1158,6916,1391,3666,517,3168,437,63.88,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
38,ChQA4,42,3.03,12.28,17.59,1.71,,0.21,,2.69,2.23,0.22,0.43,0.24,,,,17.85,,,98.78,8006,1013,"15,730","81,900",274,"64,120",,,,,,,,,130.38,,,,,,"14,050",,,,,,,,,,,,40,,,,,"16,040","37,430",5747,"26,050",6966,2200,7737,1234,7167,1413,3666,513,3088,417,75.65,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
39,ChQA5,41.99,3.1,12.66,17.65,1.64,,0.15,,2.68,1.91,0.02,0.58,0.21,,,,17.9,,,98.86,6533,966,"22,800","55,070",485,"43,630",,,,,,,,,117.9,,,,,,"13,920",,,,,,,,,,,,41,,,,,"14,300","33,820",5107,"22,890",6075,1717,6520,1043,6100,1204,3180,448,2783,378,106.27,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
40,ChQA6,41.38,2.92,12.87,16.97,1.47,,0.22,,2.72,1.97,n.d.,0.42,0.19,,,,18.95,,,98.59,5848,901,"16,430","65,040",321,"67,110",,,,,,,,,121.01,,,,,,"13,350",,,,,,,,,,,,48,,,,,"13,480","38,470",4893,"22,200",5961,1694,6412,1043,6083,1208,3193,459,2870,393,69.66,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
41,ChQA7,41.23,2.91,13.08,16.5,1.24,,0.27,,2.94,2.05,n.d.,0.25,0.23,,,,19.12,,,98.57,5279,820,9251,"58,590",130,"65,600",,,,,,,,,135.96,,,,,,"13,100",,,,,,,,,,,,41,,,,,"17,270","45,310",6398,"28,810",7656,2082,8106,1290,7476,1473,3884,553,3395,464,55.19,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
42,ChQA8,41.72,2.91,12.86,17.04,1.37,,0.22,,2.94,1.9,n.d.,0.32,0.16,,,,18.58,,,98.58,5899,818,"13,770","50,270",337,"44,470",,,,,,,,,136.12,,,,,,"13,620",,,,,,,,,,,,43,,,,,"14,070","39,900",5074,"22,700",6039,1628,6401,1031,6074,1216,3260,476,3024,424,69.95,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
43,ChQA9,41.98,3.04,13.23,16.59,1.38,,0.25,,3.01,1.88,n.d.,0.33,0.17,,,,18.07,,,98.56,5066,803,"13,240","42,330",281,"34,010",,,,,,,,,144.93,,,,,,"13,910",,,,,,,,,,,,47,,,,,"13,160","56,790",4803,"21,390",5648,1451,5907,947,5550,1097,2911,422,2702,374,59.93,"3,4",Laterite lower flow,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
44,ChQA10,45.44,2.52,11.53,16.57,0.92,,0.18,,3.34,1.53,n.d.,1.79,0.08,,,,15.9,,,98.8,"10,430",803,"80,360","36,120",1963,"76,710",,,,,,,,,109.53,,,,,,"11,940",,,,,,,,,,,,130,,,,,"11,540","33,210",3803,"16,530",4371,1238,4553,745,4387,867,2287,331,2068,286,83.14,"3,4",Laterite brecciated flow top,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
45,ChQA11,46.92,2.43,11.72,15.91,0.85,,0.22,,3.3,1.39,n.d.,1.82,0.05,,,,15.87,,,99.55,"10,340",809,"75,650","34,680",1528,"84,040",,,,,,,,,103.68,,,,,,"11,310",,,,,,,,,,,,128,,,,,"10,260","28,960",3305,"14,440",3844,1173,4161,691,4133,834,2236,324,2078,291,65.31,"3,4",Laterite brecciated flow top,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
46,ChQA12,45.14,2.27,12.44,16.23,0.82,,0.2,,3.43,1.4,n.d.,1.69,0.03,,,,16.47,,,99.24,8789,839,"70,450","36,640",1377,"64,760",,,,,,,,,119.65,,,,,,"10,320",,,,,,,,,,,,107,,,,,"10,100","23,080",3338,"14,970",4095,1353,4652,763,4635,939,2543,368,2356,337,73.29,"3,4",Laterite brecciated flow top,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
47,ChQB1,41.76,2.58,15.16,16.4,0.47,,0.39,,2.61,1.97,0.3,0.64,0.17,,,,17.42,,,99.4,6570,846,"10,460","61,940",111,"172,400",,,,,,,,,130.44,,,,,,"10,170",,,,,,,,,,,,95,,,,,"13,730","32,290",5150,"23,770",6450,1956,7109,1144,6789,1364,3652,524,3241,453,37.98,"3,4",Laterite,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
48,ChQB2,41.43,2.72,15.85,16.74,0.6,,0.38,,2.74,1.92,0.26,0.48,0.14,,,,16.68,,,99.33,6290,807,8058,"57,760",150,"91,070",,,,,,,,,139.16,,,,,,"10,620",,,,,,,,,,,,66,,,,,"11,770","35,070",4507,"20,550",5697,1745,6210,1036,6297,1272,3441,500,3138,441,39.79,"3,4",Laterite,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
49,ChQB3,41.29,2.59,14.99,17.97,1.18,,0.31,,2.28,2.92,0.84,0.31,0.2,,,,15.01,,,98.69,5076,803,5368,"102,000",236,"89,130",,,,,,,,,127.33,,,,,,"10,120",,,,,,,,,,,,39,,,,,"15,300","32,620",5556,"26,090",7083,2367,8054,1274,7569,1518,3992,564,3433,478,52.35,"3,4",Laterite,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
50,ChQB4,42.14,2.67,15.14,17.14,1.1,,0.31,,2.14,3.29,1.04,0.29,0.22,,,,14.83,,,99.2,5351,796,4333,"113,400",188,"93,010",,,,,,,,,127.69,,,,,,"10,280",,,,,,,,,,,,37,,,,,"13,710","32,290",4901,"22,960",6283,2116,7185,1130,6657,1334,3510,489,2970,413,49.93,"3,4",Laterite,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
51,ChQB5,43.69,2.55,14.48,16.82,2.42,,0.26,,2.97,5.39,1.59,0.26,0.21,,,,10.86,,,99.1,5167,700,3551,"151,900",145,"94,790",,,,,,,,,123.77,,,,,,9728,,,,,,,,,,,,25,,,,,"12,560","29,130",4488,"20,970",5732,1984,6593,1046,6226,1243,3250,456,2769,389,58.43,"3,4",Laterite,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
52,ChQB6,46.95,2.32,13.39,15.4,6.17,,0.21,,4.71,9.06,2.11,0.31,0.21,,,,4.93,,,99.59,5583,773,3287,"185,500",82,"99,950",,,,,,,,,118.91,,,,,,8956,,,,,,,,,,,,12,,,,,"12,660","26,220",4549,"21,560",6133,2209,7475,1201,7396,1505,4005,568,3453,481,66.23,"3,4",Laterite,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
53,ChQB7,46.35,2.23,13.7,15.73,6.18,,0.22,,4.75,8.43,1.81,0.18,0.19,,,,6.01,,,99.59,6094,629,1853,"166,500",79,"86,700",,,,,,,,,113.25,,,,,,8279,,,,,,,,,,,,14,,,,,"10,520","24,890",3880,"18,520",5258,1906,6212,1006,6090,1229,3283,466,2842,398,64.57,"3,4",Laterite,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
54,ChQB8,47.34,2.35,12.98,15.6,7,,0.23,,4.92,9.48,2.26,0.22,0.21,,,,3.55,,,99.12,5933,726,1644,"195,500",79,"113,600",,,,,,,,,126.64,,,,,,9195,,,,,,,,,,,,17,,,,,"12,460","27,970",4442,"20,980",5960,2113,7105,1159,7100,1440,3857,547,3328,468,61.26,"3,4",Laterite,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
55,ChQB9a,45.12,2.33,13.22,17.2,4.71,,0.25,,3.88,6.88,1.57,0.19,0.2,,,,8.57,,,99.42,5178,750,1802,"145,900",85,"92,080",,,,,,,,,122.63,,,,,,8880,,,,,,,,,,,,33,,,,,"11,180","27,310",4071,"19,230",5408,1870,6284,1014,6101,1228,3293,471,2880,405,62.14,"3,4",Laterite Corestone,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
56,ChQB9b,47.58,2.31,13.11,15.42,6.58,,0.23,,4.87,9.38,2.25,0.22,0.2,,,,4.31,,,99.87,5330,630,1477,"191,000",60,"95,020",,,,,,,,,116.32,,,,,,8575,,,,,,,,,,,,21,,,,,"11,440","26,540",4029,"19,000",5397,1917,6547,1072,6573,1342,3599,509,3115,441,60.55,"3,4",Laterite Corestone,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
57,ChQB9c,48.16,2.24,13.03,15.23,7.2,,0.22,,5.09,9.9,2.33,0.23,0.2,,,,3.4,,,100.04,5526,681,1447,"198,000",51,"99,650",,,,,,,,,114.77,,,,,,8566,,,,,,,,,,,,11,,,,,"11,130","26,810",3936,"18,620",5290,1846,6383,1036,6389,1319,3560,504,3070,441,62.52,"3,4",Laterite Least weathered corestone,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
58,ChQB9d,48.75,2.36,13.69,13.36,6.55,,0.2,,5.03,10.16,2.49,0.23,0.21,,,,3.33,,,99.79,5360,573,1231,"210,200",30,"110,400",,,,,,,,,112.09,,,,,,8821,,,,,,,,,,,,8,,,,,"11,520","27,650",4032,"18,700",5296,1898,6369,1044,6402,1319,3527,501,3020,426,60.33,"3,4",Laterite Corestone,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
59,ChQB10,41.28,2.78,14.92,18.16,4.97,,0.24,,3.95,5.43,0.68,0.12,0.2,,,,10.78,,,98.53,7695,890,2008,"125,600",74,"182,400",,,,,,,,,145.15,,,,,,"10,670",,,,,,,,,,,,34,,,,,"19,250","28,900",6346,"29,780",8280,2839,"10,170",1623,9809,2013,5302,741,4442,626,68.34,"3,4",Laterite Topsoil,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
60,ChQB11,39.98,3.32,15.17,19.92,5.2,,0.3,,3.62,5.57,0.91,0.29,0.16,,,,10.04,,,99.27,"11,970",908,"13,700","112,000",509,"165,200",,,,,,,,,139.63,,,,,,"12,220",,,,,,,,,,,,63,,,,,"12,450","32,240",4344,"19,770",5483,1849,6305,1041,6271,1286,3448,497,3080,434,59.97,"3,4",Laterite Topsoil,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
61,ChQB12,48.72,2.23,12.93,15.07,9.75,,0.23,,5.46,10.55,2.43,0.28,0.2,,,,1.51,,,99.61,5713,686,5226,"201,500",89,"83,570",,,,,,,,,113.38,,,,,,8554,,,,,,,,,,,,46,,,,,"10,800","26,790",3876,"18,270",5137,1809,6103,994,6058,1246,3319,473,2901,413,59.17,"3,4",Laterite Corestone,oxide,,"Chhindwara, India",,"whole rock XRF, ICPMS",
62,MIS-05,50.37,1.93,13.54,13.8,,,0.19,,5.84,9.98,2.3,1.14,0.23,,,,1.53,,,100.9,,,32,305,0.5,284,,,41,452,140,43,60,160,140,,,,29,146,,,,,,,,3.8,0.7,,,,,22,,2.7,2.8,19,43.9,5.12,21,4.8,1.81,5.4,0.9,5.5,1.1,3.1,0.45,2.9,0.43,65.6,5,Laterite,oxide,oxide,"Misione, Argentina",,"whole rock ICPMS, ICPOES",
63,MIS-04,46.78,2.35,12.74,14.69,,,0.179,,4.9,5.5,1.93,1.21,0.26,,,,8.22,,,98.78,,,16,222,0.5,345,,,37,329,110,49,20,260,240,,,,47,166,,,,,,,,4.4,1.1,,,,,13,,2.8,2.1,28.6,48.6,6.94,28.9,6.2,2.32,7.3,1.2,7.1,1.4,4,0.58,3.6,0.55,74.12,5,Laterite,oxide,oxide,"Misione, Argentina",,"whole rock ICPMS, ICPOES",
64,MIS-03,41.88,2.64,15.73,16.81,,,0.254,,3.94,2.71,0.88,0.98,0.24,,,,14.36,,,100.4,,,34,130,1.2,439,,,45,495,140,71,40,330,290,,,,53,194,,,,,,,,5.1,1.3,,,,,13,,3.4,1.3,54.7,77.7,15.1,60.8,12.2,4.14,12.4,1.9,10.5,1.9,5.5,0.76,4.8,0.69,59.77,5,Laterite,oxide,oxide,"Misione, Argentina",,"whole rock ICPMS, ICPOES",
65,MIS-02,39.78,2.93,22.01,21.02,,,0.165,,0.47,0.18,0.07,0.15,0.14,,,,14.06,,,101,,,15,22,2.4,150,,,59,413,100,43,30,340,240,,,,11,237,,,,,,,,5.9,1.5,,,,,24,,5.1,2.7,29.9,40.5,5.52,18,2.9,0.9,2.7,0.4,2.3,0.4,1.3,0.2,1.3,0.19,115.05,5,Laterite,oxide,oxide,"Misione, Argentina",,"whole rock ICPMS, ICPOES",
66,MIS-01,34.17,2.82,24.96,16.8,,,0.063,,0.17,0.02,0.08,0.01,0.1,,,,20,,,99.16,,,7,15,3.9,60,,,42,476,110,9,40,160,110,,,,23,327,,,,,,,,8.3,1.9,,,,,57,,12.6,3.6,41.9,95,9.37,33.1,5.9,1.55,5.1,0.8,4.5,0.9,2.6,0.39,2.6,0.38,240.83,5,Laterite,oxide,oxide,"Misione, Argentina",,"whole rock ICPMS, ICPOES",
