Number,Sample,SiO2 (%),TiO2,Al2O3,Fe2O3,FeO,Fe,MnO,Mn,MgO,CaO,Na2O,K2O,P2O5,SO3,C,CO2,LOI,H2O,Cl,Total,Li,Be,Rb,Sr,Cs,Ba,B,Br,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Te,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Fe/Mn,Ref,Type,Fe_species,Mn_species,Locality,Age,method,Notes
5187,Bishops_Palace,52.9,0.95,11.7,,15.6,12.13,0.22,0.17,10.5,1.8,2.77,0.99,,,,,,,,97.43,12.1,,41,178.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5188,Bishops_Palace,54.7,0.89,11.7,,15.7,12.2,0.18,0.14,8.7,2.1,2.93,0.88,,,,,,,,97.78,11.5,,43.4,173.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5189,Bishops_Palace,54,0.96,11.1,,16.7,12.98,0.17,0.13,9.6,1.8,2.59,0.81,,,,,,,,97.73,11.4,,5.8,185.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5190,Bishops_Palace,55.4,0.88,10.4,,14.8,11.5,0.2,0.15,10,1.6,2.65,0.82,,,,,,,,96.75,11.4,,54.2,178.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5191,Bishops_Palace,54.9,0.9,12.4,,16.7,12.98,0.14,0.11,8.6,2.3,2.99,0.87,,,,,,,,99.8,12.5,,127.8,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5192,Bishops_Palace,52.8,0.84,13,,16.1,12.51,0.17,0.13,9.6,2,3.01,0.96,,,,,,,,98.48,15.7,,97,243.4,,236.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5193,Bishops_Palace,52.9,0.82,14,,16.2,12.59,0.16,0.12,9.4,2.5,2.99,0.81,,,,,,,,99.78,11.9,,4.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5194,Musselburgh,52,0.89,12.1,,17.7,13.76,0.16,0.12,8.6,1.9,2.4,0.9,,,,,,,,96.65,11.3,,58.5,298.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5195,Musselburgh,52.7,1.02,11.2,,18.8,14.61,0.2,0.15,8.8,1.4,2.42,1.29,,,,,,,,97.83,15.4,,71.8,259.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5196,Musselburgh,51.7,0.93,12.1,,18.1,14.07,0.17,0.13,7.7,2.3,2.56,1,,,,,,,,96.56,12.5,,38.6,217.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5197,Musselburgh,49.4,0.87,9,,17.9,13.91,2.55,1.97,10.4,1.5,2.32,0.82,,,,,,,,94.76,9.9,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5198,Musselburgh,54.2,0.91,10,,17.8,13.84,0.13,0.1,8.9,1.6,2.04,0.84,,,,,,,,96.42,1.4,,44.7,167.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5199,Musselburgh,51.5,0.98,10.7,,18.7,14.54,0.18,0.14,8.8,2.3,2.11,0.61,,,,,,,,95.88,8.8,,,124.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5200,Mary_Anning_ccam_2846,54.1,0.87,11.4,,16.9,13.14,0.18,0.14,8.6,1.6,2.61,1.16,,,,,,,,97.42,13.1,,57.9,227.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5201,Mary_Anning_ccam_2846,52.2,0.82,10.1,,17.8,13.84,0.2,0.15,9.5,1.9,2.23,0.8,,,,,,,,95.55,11.1,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5202,Mary_Anning_ccam_2846,50.3,1.04,10.1,,18.5,14.38,0.23,0.18,10,1.6,2.15,0.66,,,,,,,,94.58,11.3,,,155.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5203,Mary_Anning_ccam_2846,51.8,1.13,10.6,,17.8,13.84,0.18,0.14,8.2,3.9,2.1,0.77,,,,,,,,96.48,1.8,,54.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5204,Mary_Anning_ccam_2846,50.2,0.86,9.3,,17.9,13.91,0.19,0.15,8.5,4.2,2.14,0.88,,,,,,,,94.17,12.2,,73,133.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5205,Mary_Anning_ccam_2846,45.4,0.86,8.4,,19.1,14.85,1.03,0.8,11,3.6,1.77,0.34,,,,,,,,91.5,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5206,Mary_Anning_ccam_2846,54.1,0.91,11.7,,17.7,13.76,0.13,0.1,8.7,1.7,2.49,1.34,,,,,,,,98.77,14.1,,74.7,224.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5207,Mary_Anning_ccam_2846,52.9,0.82,10.4,,17.3,13.45,0.17,0.13,9.6,2.5,2.14,0.77,,,,,,,,96.6,9.8,,6.9,155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5208,Mary_Anning_ccam_2846,51,0.96,10.4,,18.1,14.07,0.22,0.17,9.3,2.3,2.15,0.63,,,,,,,,95.06,9.2,,42.6,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5209,Mary_Anning_ccam_2846,37.1,0.65,6.5,,12.4,9.64,0.19,0.15,4.2,20.4,0.95,0.22,,,,,,,,82.61,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
