Sample,Formation,Pathway
Kalabscha-I,,
Kalabscha-II,,
Kalabscha-III,,
Agbaja-V,,
Agbaja-VII,,
Gh2,,
Gh3,,
Gh14,,
Hr5,,
Gh9,,
Gh4,,
Gd2,,
Gd3,,
Gd5,,
Gh5,,
Gh8,,
Gd8,,
Gd11,,
Gd16,,
Gd17,,
Gh15,,
Gh16,,
Gh17,,
Gh20,,
Hr6,,
Hr8,,
Hr11,,
DXGB-14,,
DXGB-15,,
DXGB-16,,
DXGB-17,,
DXGB-18,,
DXGS-6,,Carbonates
DXGS-7,,Carbonates
DXGS-8,,Carbonates
DXGS-9,,Carbonates
DXGS-10,,Carbonates
DXGS-11,,Carbonates
DXGS-12,,Carbonates
DXGS-13,,Carbonates
DXGS-14,,Carbonates
DXGS-15,,Carbonates
DXGS-16,,Carbonates
DXGS-17,,Carbonates
DXGS-18,,Carbonates
DXGS-19,,Carbonates
DXGS-20,,Carbonates
DXGS-21,,Carbonates
DXGS-23,,Carbonates
DXGS-24,,Carbonates
DXGS-25,,Carbonates
DXGS-26,,Carbonates
DXGS-27,,Carbonates
DXGS-28,,Carbonates
DXGS-29,,Carbonates
DXGS-30,,Carbonates
DXGS-32,,
DXGS-33,,
DXGS-34,,
DXGS-35,,
DXGS-36,,Carbonates
DXGS-37,,Carbonates
DXGS-38,,Carbonates
DXGS-39,,Carbonates
DXGS-40,,Carbonates
DXGS-41,,Carbonates
DXGS-42,,Carbonates
DXGS-43,,Carbonates
DXGS-44,,
DXGS-46,,
DXGS-47,,
DXGS-48,,
DXGS-49,,
JYN V 47PG,Marine,Mixed
JYN V 50PG,Marine,Mixed
JYN II 8G,Marine,Mixed
JYN V1 11G,Marine,Mixed
JYN V 31PG,Marine,Mixed
MERO 2P52,Marine,Mixed
PROA 105G,Marine,Mixed
PROA 108PG,Marine,Mixed
PROA 113PG,Marine,Mixed
PROA 156G,Marine,Mixed
AMPH 80G,Marine,Mixed
AMPH 85PG,Marine,Mixed
WAH 2PG,Marine,Mixed
TRIP 9G,Marine,Mixed
DODO 20C,Marine,Mixed
LSH 89G,Marine,Mixed
RIS 4G,Marine,Mixed
DWBD 1,Marine,Mixed
CPM-1,,
CPM-2,,
CPM-3,,
CPM-4,,
CPM-5,,
CPM-6,,
CPM-7,,
CPM-8,,
CPL-1,Freshwater,Freshwater
CPL-2,Freshwater,Freshwater
CPL-3,Freshwater,Freshwater
CPL-4,Freshwater,Freshwater
CPL-5,Freshwater,Freshwater
CPL-6,Freshwater,Freshwater
CPL-7,Freshwater,Freshwater
CPL-8,Freshwater,Freshwater
CPL-9,Freshwater,Freshwater
CPL-10,Freshwater,Freshwater
CPL-11,Freshwater,Freshwater
CPL-12,Freshwater,Freshwater
1-Jan,Marine,Diagenetic
2-Jan,Marine,Diagenetic
19-1,Marine,Diagenetic
59-1,Marine,Diagenetic
59-3,Marine,Diagenetic
62-1,Marine,Diagenetic
62-3,Marine,Diagenetic
62-6,Marine,Diagenetic
63-2,Marine,Diagenetic
173-1,Marine,Diagenetic
1-Oct,Marine,Diagenetic
3-Oct,Marine,Diagenetic
59-2,Marine,Diagenetic
59-4,Marine,Diagenetic
62-2,Marine,Diagenetic
62-4,Marine,Diagenetic
63-1,Marine,Diagenetic
106-1,Marine,Diagenetic
156-1,Marine,Diagenetic
156-3,Marine,Diagenetic
156-4,Marine,Diagenetic
2-Oct,Marine,Diagenetic
22-2,Marine,Diagenetic
106-2,Marine,Diagenetic
143-8,Marine,Diagenetic
145-1,Marine,Diagenetic
145-2,Marine,Diagenetic
145-3,Marine,Diagenetic
156-2,Marine,Diagenetic
177-1,Marine,Diagenetic
33-1,Marine,Diagenetic
33-2,Marine,Diagenetic
33-3,Marine,Diagenetic
52-1,Marine,Diagenetic
53-1,Marine,Diagenetic
62-5,Marine,Diagenetic
64-1,Marine,Diagenetic
64-2,Marine,Diagenetic
64-3,Marine,Diagenetic
4-Oct,Marine,Diagenetic
108-1,Marine,Diagenetic
177-2,Marine,Diagenetic
BCG-A,Freshwater,Freshwater
BCG-B,Freshwater,Freshwater
BCG-C,Freshwater,Freshwater
BCG-D,Freshwater,Freshwater
BCG-F,Freshwater,Freshwater
CT-1,Freshwater,Freshwater
CT-2,Freshwater,Freshwater
"107,779",Freshwater,Freshwater
780,Freshwater,Freshwater
781,Freshwater,Freshwater
785,Freshwater,Freshwater
765,Freshwater,Freshwater
783,Freshwater,Freshwater
782,Freshwater,Freshwater
784,Freshwater,Freshwater
"107,764",Freshwater,Freshwater
761,Freshwater,Freshwater
762,Freshwater,Freshwater
763,Freshwater,Freshwater
773,Freshwater,Freshwater
774,Freshwater,Freshwater
775,Freshwater,Freshwater
"107,770",Freshwater,Freshwater
771,Freshwater,Freshwater
772,Freshwater,Freshwater
776,Freshwater,Freshwater
777,Freshwater,Freshwater
778,Freshwater,Freshwater
"107,766",Freshwater,Freshwater
768,Freshwater,Freshwater
767,Freshwater,Freshwater
GS-1,Freshwater,Freshwater
GS-2,Freshwater,Freshwater
GS-3,Freshwater,Freshwater
75-123A0-7,Freshwater,Freshwater
75-123A7-8,Freshwater,Freshwater
75-123A8-13,Freshwater,Freshwater
75-123A13-14,Freshwater,Freshwater
75-123A14-18,Freshwater,Freshwater
75-123A18-19,Freshwater,Freshwater
75-123A25-26,Freshwater,Freshwater
75-123A26-31,Freshwater,Freshwater
75-123A31-32,Freshwater,Freshwater
75-123-B0-7,Freshwater,Freshwater
75-123-B7-8,Freshwater,Freshwater
75-123-B8-13,Freshwater,Freshwater
75-123-B13-14,Freshwater,Freshwater
75-123-B14-20,Freshwater,Freshwater
75-123-B20-21,Freshwater,Freshwater
75-123-B21-25,Freshwater,Freshwater
75-123-B25-26,Freshwater,Freshwater
75-123-B26-34,Freshwater,Freshwater
75-123-B34-35,Freshwater,Freshwater
75-123-C0-9,Freshwater,Freshwater
75-123-C9-11,Freshwater,Freshwater
75-123-C11-20,Freshwater,Freshwater
