Number,Sample,Formation,Pathway
1729,Doros,Gale crater,Gale crater
1730,Doros,Gale crater,Gale crater
1731,Doros,Gale crater,Gale crater
1732,Doros,Gale crater,Gale crater
1733,Gobabeb_Scoop1_dumpA_lt_150_ccam,Gale crater,Gale crater
1734,Gobabeb_Scoop1_dumpA_lt_150_ccam,Gale crater,Gale crater
1735,Gobabeb_Scoop2_DumpD_to_DumpC,Gale crater,Gale crater
1736,Gobabeb_Scoop2_DumpD_to_DumpC,Gale crater,Gale crater
1737,Gobabeb_Scoop2_DumpD_to_DumpC,Gale crater,Gale crater
1738,Dwyka,Gale crater,Gale crater
1739,Dwyka,Gale crater,Gale crater
1740,Dwyka,Gale crater,Gale crater
1741,Dwyka,Gale crater,Gale crater
1742,Dwyka,Gale crater,Gale crater
1743,Husab,Gale crater,Gale crater
1744,Husab,Gale crater,Gale crater
1745,Gobabeb_DumpA_night,Gale crater,Gale crater
1746,Gobabeb_DumpA_night,Gale crater,Gale crater
1747,Gobabeb_DumpA_night,Gale crater,Gale crater
1748,Gobabeb_DumpA_night,Gale crater,Gale crater
1749,Gobabeb_DumpA_night,Gale crater,Gale crater
1750,Gosser_Schroffenstein,Gale crater,Gale crater
1751,Gosser_Schroffenstein,Gale crater,Gale crater
1752,Gosser_Schroffenstein,Gale crater,Gale crater
1753,Gosser_Schroffenstein,Gale crater,Gale crater
1754,Gosser_Schroffenstein,Gale crater,Gale crater
1755,Gosser_Schroffenstein,Gale crater,Gale crater
1756,Gosser_Schroffenstein,Gale crater,Gale crater
1757,Kudis,Gale crater,Gale crater
1758,Kuiseb,Gale crater,Gale crater
1759,Kuiseb,Gale crater,Gale crater
1760,Pre_sieve_dump_ccam_1254,Gale crater,Gale crater
1761,Gross_Aub,Gale crater,Gale crater
1762,Gross_Aub,Gale crater,Gale crater
1763,Groot_Aub,Gale crater,Gale crater
1764,Groot_Aub,Gale crater,Gale crater
1765,Gorob_ccam,Gale crater,Gale crater
1766,Gorob_ccam,Gale crater,Gale crater
1767,Gemsboktal,Gale crater,Gale crater
1768,Gemsboktal,Gale crater,Gale crater
1769,Gemsboktal,Gale crater,Gale crater
1770,Gemsboktal,Gale crater,Gale crater
1771,Gemsboktal,Gale crater,Gale crater
1772,Gemsboktal,Gale crater,Gale crater
1773,Awahab,Gale crater,Gale crater
1774,Rooibank,Gale crater,Gale crater
1775,Rooibank,Gale crater,Gale crater
1776,Stockdale,Gale crater,Gale crater
1777,Stockdale,Gale crater,Gale crater
1778,Stockdale,Gale crater,Gale crater
1779,Stockdale,Gale crater,Gale crater
1780,Stockdale,Gale crater,Gale crater
1781,Uniab,Gale crater,Gale crater
1782,Uniab,Gale crater,Gale crater
1783,Uniab,Gale crater,Gale crater
1784,Uniab,Gale crater,Gale crater
1785,Uniab,Gale crater,Gale crater
1786,Uniab,Gale crater,Gale crater
1787,Uniab,Gale crater,Gale crater
1788,Tumas,Gale crater,Gale crater
1789,Tumas,Gale crater,Gale crater
1790,Tumas,Gale crater,Gale crater
1791,Kleinberg,Gale crater,Gale crater
1792,Tumas_2,Gale crater,Gale crater
1793,Tumas_2,Gale crater,Gale crater
1794,Palmhorst,Gale crater,Gale crater
1795,Palmhorst,Gale crater,Gale crater
1796,Palmwag,Gale crater,Gale crater
1797,Mirabib_ccam_DRT_2,Gale crater,Gale crater
1798,Mirabib_ccam_DRT_2,Gale crater,Gale crater
1799,Mirabib_ccam_DRT_2,Gale crater,Gale crater
1800,Duruchaus,Gale crater,Gale crater
1801,Duruchaus,Gale crater,Gale crater
1802,Duruchaus,Gale crater,Gale crater
1803,Eiseb,Gale crater,Gale crater
1804,Eiseb,Gale crater,Gale crater
1805,Vogelfederberg,Gale crater,Gale crater
1806,Vogelfederberg,Gale crater,Gale crater
1807,Vogelfederberg,Gale crater,Gale crater
1808,Vogelfederberg,Gale crater,Gale crater
1809,Vogelfederberg,Gale crater,Gale crater
1810,Verbrandeberg,Gale crater,Gale crater
1811,Verbrandeberg,Gale crater,Gale crater
1812,Maieberg,Gale crater,Gale crater
1813,Maieberg,Gale crater,Gale crater
1814,Maieberg,Gale crater,Gale crater
1815,Mikberg,Gale crater,Gale crater
1816,Mikberg,Gale crater,Gale crater
1817,Mikberg,Gale crater,Gale crater
1818,Mikberg,Gale crater,Gale crater
1819,Mikberg,Gale crater,Gale crater
1820,Mikberg,Gale crater,Gale crater
1821,Mikberg,Gale crater,Gale crater
1822,Mikberg,Gale crater,Gale crater
1823,Mikberg,Gale crater,Gale crater
1824,Mikberg,Gale crater,Gale crater
1825,Tsarabis,Gale crater,Gale crater
1826,Tsarabis,Gale crater,Gale crater
1827,Tsarabis,Gale crater,Gale crater
1828,Tsarabis,Gale crater,Gale crater
1829,Kunene,Gale crater,Gale crater
1830,Kunene,Gale crater,Gale crater
1831,Kunene,Gale crater,Gale crater
1832,Kunene,Gale crater,Gale crater
1833,Kunene,Gale crater,Gale crater
1834,Nababis,Gale crater,Gale crater
1835,Nababis,Gale crater,Gale crater
1836,Nababis,Gale crater,Gale crater
1837,Nababis,Gale crater,Gale crater
1838,Marienfluss,Gale crater,Gale crater
1839,Marienfluss,Gale crater,Gale crater
1840,Marienfluss,Gale crater,Gale crater
1841,Marienfluss,Gale crater,Gale crater
1842,Marienfluss,Gale crater,Gale crater
1843,Marienfluss,Gale crater,Gale crater
1844,Marienfluss,Gale crater,Gale crater
1845,Marienfluss,Gale crater,Gale crater
1846,Marienfluss,Gale crater,Gale crater
1847,Marienfluss,Gale crater,Gale crater
1848,Marienfluss,Gale crater,Gale crater
1849,Orupembe,Gale crater,Gale crater
1850,Orupembe,Gale crater,Gale crater
1851,Orupembe,Gale crater,Gale crater
1852,Orupembe,Gale crater,Gale crater
1853,Orupembe,Gale crater,Gale crater
1854,Witvlei,Gale crater,Gale crater
1855,Witvlei,Gale crater,Gale crater
1856,Witvlei,Gale crater,Gale crater
1857,Witvlei,Gale crater,Gale crater
1858,Witvlei,Gale crater,Gale crater
1859,Witvlei,Gale crater,Gale crater
1860,Witvlei,Gale crater,Gale crater
1861,Witvlei,Gale crater,Gale crater
1862,Witvlei,Gale crater,Gale crater
1863,Witvlei,Gale crater,Gale crater
1864,Naauwpoort,Gale crater,Gale crater
1865,Naauwpoort,Gale crater,Gale crater
1866,Naauwpoort,Gale crater,Gale crater
1867,Naauwpoort,Gale crater,Gale crater
1868,Naauwpoort,Gale crater,Gale crater
1869,Rooirand,Gale crater,Gale crater
1870,Grootberg,Gale crater,Gale crater
1871,Grootberg,Gale crater,Gale crater
1872,Grootberg,Gale crater,Gale crater
1873,Grootberg,Gale crater,Gale crater
1874,Grootberg,Gale crater,Gale crater
1875,Grootberg,Gale crater,Gale crater
1876,Grootberg,Gale crater,Gale crater
1877,Grootberg,Gale crater,Gale crater
1878,Grasplatz,Gale crater,Gale crater
1879,Grasplatz,Gale crater,Gale crater
1880,Grasplatz,Gale crater,Gale crater
1881,Grasplatz,Gale crater,Gale crater
1882,Grasplatz,Gale crater,Gale crater
1883,Grasplatz,Gale crater,Gale crater
1884,Grasplatz,Gale crater,Gale crater
1885,Grasplatz,Gale crater,Gale crater
1886,Mulden,Gale crater,Gale crater
1887,Mulden,Gale crater,Gale crater
1888,Mulden,Gale crater,Gale crater
1889,Mulden,Gale crater,Gale crater
1890,Mulden,Gale crater,Gale crater
1891,Mulden,Gale crater,Gale crater
1892,Mulden,Gale crater,Gale crater
1893,Mulden,Gale crater,Gale crater
1894,Sesriem_Canyon_ccam,Gale crater,Gale crater
1895,Sesriem_Canyon_ccam,Gale crater,Gale crater
1896,Sesriem_Canyon_ccam,Gale crater,Gale crater
1897,Sesriem_Canyon_ccam,Gale crater,Gale crater
1898,Sesriem_Canyon_ccam,Gale crater,Gale crater
1899,Omaheke,Gale crater,Gale crater
1900,Omaheke,Gale crater,Gale crater
1901,Omaheke,Gale crater,Gale crater
1902,Omaheke,Gale crater,Gale crater
1903,Omaheke,Gale crater,Gale crater
1904,Khaudam,Gale crater,Gale crater
1905,Khaudam,Gale crater,Gale crater
1906,Khaudam,Gale crater,Gale crater
1907,Khaudam,Gale crater,Gale crater
1908,Khaudam,Gale crater,Gale crater
1909,Tsintsabis,Gale crater,Gale crater
1910,Tsintsabis,Gale crater,Gale crater
1911,Tsintsabis,Gale crater,Gale crater
1912,Bwabwata,Gale crater,Gale crater
1913,Bwabwata,Gale crater,Gale crater
1914,Gobabis_ccam,Gale crater,Gale crater
1915,Gobabis_ccam,Gale crater,Gale crater
1916,Gobabis_ccam,Gale crater,Gale crater
1917,Gobabis_ccam,Gale crater,Gale crater
1918,Gobabis_ccam,Gale crater,Gale crater
1919,Gobabis_ccam,Gale crater,Gale crater
1920,Gobabis_ccam,Gale crater,Gale crater
1921,Gobabis_ccam,Gale crater,Gale crater
1922,Gobabis_ccam,Gale crater,Gale crater
1923,Gobabis_ccam,Gale crater,Gale crater
1924,Zerrissene,Gale crater,Gale crater
1925,Zerrissene,Gale crater,Gale crater
1926,Zerrissene,Gale crater,Gale crater
1927,Zerrissene,Gale crater,Gale crater
1928,Zerrissene,Gale crater,Gale crater
1929,Bloedkoppie,Gale crater,Gale crater
1930,Bloedkoppie,Gale crater,Gale crater
1931,Bloedkoppie,Gale crater,Gale crater
1932,Bloedkoppie,Gale crater,Gale crater
1933,Bloedkoppie,Gale crater,Gale crater
1934,Blaubeker,Gale crater,Gale crater
1935,Chapeu_Armado,Gale crater,Gale crater
1936,Chapeu_Armado,Gale crater,Gale crater
1937,Blaubock_2_Interior,Gale crater,Gale crater
1938,Blaubock_2_Exterior,Gale crater,Gale crater
1939,Blaubock_2_Exterior,Gale crater,Gale crater
1940,Blaubock_2_Exterior,Gale crater,Gale crater
1941,Bero,Gale crater,Gale crater
1942,Bero,Gale crater,Gale crater
1943,Bero,Gale crater,Gale crater
1944,Bero,Gale crater,Gale crater
1945,Arco,Gale crater,Gale crater
1946,Arco,Gale crater,Gale crater
1947,Tsondab,Gale crater,Gale crater
1948,Tsondab,Gale crater,Gale crater
1949,Marble_Koppie,Gale crater,Gale crater
1950,Marble_Koppie,Gale crater,Gale crater
1951,Katwitwi,Gale crater,Gale crater
1952,Katwitwi,Gale crater,Gale crater
1953,Katwitwi,Gale crater,Gale crater
1954,Katwitwi,Gale crater,Gale crater
1955,Katwitwi,Gale crater,Gale crater
1956,Katwitwi,Gale crater,Gale crater
1957,Katwitwi,Gale crater,Gale crater
1958,Katwitwi,Gale crater,Gale crater
1959,Katwitwi,Gale crater,Gale crater
1960,Lubango,Gale crater,Gale crater
1961,Lubango,Gale crater,Gale crater
1962,Lubango,Gale crater,Gale crater
1963,Lubango,Gale crater,Gale crater
1964,Amspoort,Gale crater,Gale crater
1965,Amspoort,Gale crater,Gale crater
1966,Amspoort,Gale crater,Gale crater
1967,Amspoort,Gale crater,Gale crater
1968,Amspoort,Gale crater,Gale crater
1969,Uubvley,Gale crater,Gale crater
1970,Mukorob,Gale crater,Gale crater
1971,Mukorob,Gale crater,Gale crater
1972,Kolmanskop,Gale crater,Gale crater
1973,Kolmanskop,Gale crater,Gale crater
1974,Kolmanskop,Gale crater,Gale crater
1975,Kolmanskop,Gale crater,Gale crater
1976,Kolmanskop,Gale crater,Gale crater
1977,Kolmanskop,Gale crater,Gale crater
1978,Kolmanskop,Gale crater,Gale crater
1979,Kolmanskop,Gale crater,Gale crater
1980,Kolmanskop,Gale crater,Gale crater
1981,Kolmanskop,Gale crater,Gale crater
1982,Okongo,Gale crater,Gale crater
1983,Okongo,Gale crater,Gale crater
1984,Okongo,Gale crater,Gale crater
1985,Okongo,Gale crater,Gale crater
1986,Okongo,Gale crater,Gale crater
1987,Okongo,Gale crater,Gale crater
1988,Okongo,Gale crater,Gale crater
1989,Okongo,Gale crater,Gale crater
1990,Okongo,Gale crater,Gale crater
1991,Bagani,Gale crater,Gale crater
1992,Bagani,Gale crater,Gale crater
1993,Bagani,Gale crater,Gale crater
1994,Bagani,Gale crater,Gale crater
1995,Bagani,Gale crater,Gale crater
1996,Bagani,Gale crater,Gale crater
1997,Bagani,Gale crater,Gale crater
1998,Bagani,Gale crater,Gale crater
1999,Bagani,Gale crater,Gale crater
2000,Bagani,Gale crater,Gale crater
2001,Linyanti,Gale crater,Gale crater
2002,Okahao,Gale crater,Gale crater
2003,Okahao,Gale crater,Gale crater
2004,Oshivelo,Gale crater,Gale crater
2005,Oshivelo,Gale crater,Gale crater
2006,Oshivelo,Gale crater,Gale crater
2007,Oshivelo,Gale crater,Gale crater
2008,Oshivelo,Gale crater,Gale crater
2009,Bentiaba,Gale crater,Gale crater
2010,Bentiaba,Gale crater,Gale crater
2011,Bentiaba,Gale crater,Gale crater
2012,Bentiaba,Gale crater,Gale crater
2013,Lianshulu,Gale crater,Gale crater
2014,Oshikango,Gale crater,Gale crater
2015,Oshikango,Gale crater,Gale crater
2016,Oshikango,Gale crater,Gale crater
2017,Oshikango,Gale crater,Gale crater
2018,Oshikango,Gale crater,Gale crater
2019,Oshikango,Gale crater,Gale crater
2020,Oshikango,Gale crater,Gale crater
2021,Oshikango,Gale crater,Gale crater
2022,Oshikati,Gale crater,Gale crater
2023,Oshikati,Gale crater,Gale crater
2024,Oshikati,Gale crater,Gale crater
2025,Oshikati,Gale crater,Gale crater
2026,Lubango_drill_hole_1,Gale crater,Gale crater
2027,Lubango_drill_hole_1,Gale crater,Gale crater
2028,Lubango_drill_hole_1,Gale crater,Gale crater
2029,Rubikon_ccam,Gale crater,Gale crater
2030,Rubikon_ccam,Gale crater,Gale crater
2031,Rubikon_ccam,Gale crater,Gale crater
2032,Rubikon_ccam,Gale crater,Gale crater
2033,Rubikon_ccam,Gale crater,Gale crater
2034,Rubikon_ccam,Gale crater,Gale crater
2035,Rubikon_ccam,Gale crater,Gale crater
2036,Rubikon_ccam,Gale crater,Gale crater
2037,Ida,Gale crater,Gale crater
2038,Lubango_postsieve_dump_ccam,Gale crater,Gale crater
2039,Lubango_postsieve_dump_ccam,Gale crater,Gale crater
2040,Lubango_postsieve_dump_ccam,Gale crater,Gale crater
2041,Nara_Valley_ccam,Gale crater,Gale crater
2042,Nara_Valley_ccam,Gale crater,Gale crater
2043,Nara_Valley_ccam,Gale crater,Gale crater
2044,Nara_Valley_ccam,Gale crater,Gale crater
2045,Nara_Valley_ccam,Gale crater,Gale crater
2046,Nara_Valley_ccam,Gale crater,Gale crater
2047,Nara_Valley_ccam,Gale crater,Gale crater
2048,Nara_Valley_ccam,Gale crater,Gale crater
2049,Ovitoto,Gale crater,Gale crater
2050,Ovitoto,Gale crater,Gale crater
2051,Ovitoto,Gale crater,Gale crater
2052,Ovitoto,Gale crater,Gale crater
2053,Ovitoto,Gale crater,Gale crater
2054,Ovitoto,Gale crater,Gale crater
2055,Ovitoto,Gale crater,Gale crater
2056,Okoruso,Gale crater,Gale crater
2057,Okoruso,Gale crater,Gale crater
2058,Okoruso,Gale crater,Gale crater
2059,Okoruso,Gale crater,Gale crater
2060,Okoruso,Gale crater,Gale crater
2061,Okoruso,Gale crater,Gale crater
2062,Okoruso,Gale crater,Gale crater
2063,Omatako,Gale crater,Gale crater
2064,Omatako,Gale crater,Gale crater
2065,Omatako,Gale crater,Gale crater
2066,Omatako,Gale crater,Gale crater
2067,Omatako,Gale crater,Gale crater
2068,Omatako,Gale crater,Gale crater
2069,Omatako,Gale crater,Gale crater
2070,Omatako,Gale crater,Gale crater
2071,Kobos,Gale crater,Gale crater
2072,Natas,Gale crater,Gale crater
2073,Natas,Gale crater,Gale crater
2074,Natas,Gale crater,Gale crater
2075,Natas,Gale crater,Gale crater
2076,Langental,Gale crater,Gale crater
2077,Langental,Gale crater,Gale crater
2078,Langental,Gale crater,Gale crater
2079,Langental,Gale crater,Gale crater
2080,Langental,Gale crater,Gale crater
2081,Langental,Gale crater,Gale crater
2082,Ebony_1335,Gale crater,Gale crater
2083,Ebony_1335,Gale crater,Gale crater
2084,Ebony_1335,Gale crater,Gale crater
2085,Ebony_1335,Gale crater,Gale crater
2086,Ebony_1335,Gale crater,Gale crater
2087,Ebony_1335,Gale crater,Gale crater
2088,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2089,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2090,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2091,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2092,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2093,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2094,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2095,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2096,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2097,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2098,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2099,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2100,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2101,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2102,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2103,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2104,Okoruso_drill_hole_ccam,Gale crater,Gale crater
2105,Ubib_ccam,Gale crater,Gale crater
2106,Ubib_ccam,Gale crater,Gale crater
2107,Ubib_ccam,Gale crater,Gale crater
2108,Okoruso_tailings_LIBS,Gale crater,Gale crater
2109,Okoruso_tailings_LIBS,Gale crater,Gale crater
2110,Okoruso_tailings_LIBS,Gale crater,Gale crater
2111,Okoruso_tailings_LIBS,Gale crater,Gale crater
2112,Okoruso_tailings_LIBS,Gale crater,Gale crater
2113,Okoruso_tailings_APXS_LIBS,Gale crater,Gale crater
2114,Okoruso_tailings_APXS_LIBS,Gale crater,Gale crater
2115,Okoruso_tailings_APXS_LIBS,Gale crater,Gale crater
2116,Okoruso_tailings_APXS_LIBS,Gale crater,Gale crater
2117,Okoruso_tailings_APXS_LIBS,Gale crater,Gale crater
2118,Okoruso_tailings_APXS_LIBS,Gale crater,Gale crater
2119,Okoruso_tailings_APXS_LIBS,Gale crater,Gale crater
2120,Lubango_postsieve_1337,Gale crater,Gale crater
2121,Okoruso_drill_hole_ccam_2,Gale crater,Gale crater
2122,Okoruso_drill_hole_ccam_2,Gale crater,Gale crater
2123,aegis_post_1343a,Gale crater,Gale crater
2124,aegis_post_1343a,Gale crater,Gale crater
2125,aegis_post_1343a,Gale crater,Gale crater
2126,aegis_post_1343a,Gale crater,Gale crater
2127,aegis_post_1343a,Gale crater,Gale crater
2128,aegis_post_1343a,Gale crater,Gale crater
2129,Meob,Gale crater,Gale crater
2130,Meob,Gale crater,Gale crater
2131,Meob,Gale crater,Gale crater
2132,Meob,Gale crater,Gale crater
2133,Meob,Gale crater,Gale crater
2134,Meob,Gale crater,Gale crater
2135,Meob,Gale crater,Gale crater
2136,Meob,Gale crater,Gale crater
2137,Nomeib,Gale crater,Gale crater
2138,Munutum,Gale crater,Gale crater
2139,Munutum,Gale crater,Gale crater
2140,Annental,Gale crater,Gale crater
2141,Annental,Gale crater,Gale crater
2142,Annental,Gale crater,Gale crater
2143,Annental,Gale crater,Gale crater
2144,Annental,Gale crater,Gale crater
2145,Annental,Gale crater,Gale crater
2146,Nainais,Gale crater,Gale crater
2147,Nainais,Gale crater,Gale crater
2148,Nainais,Gale crater,Gale crater
2149,Nainais,Gale crater,Gale crater
2150,Nainais,Gale crater,Gale crater
2151,Oamites,Gale crater,Gale crater
2152,Oamites,Gale crater,Gale crater
2153,Oamites,Gale crater,Gale crater
2154,Oamites,Gale crater,Gale crater
2155,Oamites,Gale crater,Gale crater
2156,Aruab,Gale crater,Gale crater
2157,Aruab,Gale crater,Gale crater
2158,Aruab,Gale crater,Gale crater
2159,Aruab,Gale crater,Gale crater
2160,Aruab,Gale crater,Gale crater
2161,Tschudi,Gale crater,Gale crater
2162,Tschudi,Gale crater,Gale crater
2163,Tschudi,Gale crater,Gale crater
2164,Tschudi,Gale crater,Gale crater
2165,Tschudi,Gale crater,Gale crater
2166,Tschudi,Gale crater,Gale crater
2167,Tschudi,Gale crater,Gale crater
2168,Tschudi,Gale crater,Gale crater
2169,Tschudi,Gale crater,Gale crater
2170,Tschudi,Gale crater,Gale crater
2171,Kazungula,Gale crater,Gale crater
2172,Kazungula,Gale crater,Gale crater
2173,Kazungula,Gale crater,Gale crater
2174,Kazungula,Gale crater,Gale crater
2175,Kazungula,Gale crater,Gale crater
2176,Kazungula,Gale crater,Gale crater
2177,Kazungula,Gale crater,Gale crater
2178,Kazungula,Gale crater,Gale crater
2179,aegis_post_1353a,Gale crater,Gale crater
2180,aegis_post_1353a,Gale crater,Gale crater
2181,Auchas,Gale crater,Gale crater
2182,Kaisosi,Gale crater,Gale crater
2183,Inamagando,Gale crater,Gale crater
2184,Horingbaai_ccam,Gale crater,Gale crater
2185,Horingbaai_ccam,Gale crater,Gale crater
2186,Otjikoto,Gale crater,Gale crater
2187,Otjosondu,Gale crater,Gale crater
2188,Otjosondu,Gale crater,Gale crater
2189,Otjosondu,Gale crater,Gale crater
2190,Otjosondu,Gale crater,Gale crater
2191,Otjosondu,Gale crater,Gale crater
2192,Ongeama,Gale crater,Gale crater
2193,Oudam_Drill_RMI_2,Gale crater,Gale crater
2194,Omulonga,Gale crater,Gale crater
2195,Onganja_2,Gale crater,Gale crater
2196,Onganja_2,Gale crater,Gale crater
2197,Swartbooisdrif,Gale crater,Gale crater
2198,Swartbooisdrif,Gale crater,Gale crater
2199,Swartbooisdrif,Gale crater,Gale crater
2200,Swartbooisdrif,Gale crater,Gale crater
2201,aegis_post_1374a,Gale crater,Gale crater
2202,aegis_post_1374a,Gale crater,Gale crater
2203,aegis_post_1374a,Gale crater,Gale crater
2204,Kalkfeld,Gale crater,Gale crater
2205,Kalkfeld,Gale crater,Gale crater
2206,Kalkfeld,Gale crater,Gale crater
2207,Kalkfeld,Gale crater,Gale crater
2208,Khorixas,Gale crater,Gale crater
2209,Khorixas,Gale crater,Gale crater
2210,Ai_Ais,Gale crater,Gale crater
2211,Ai_Ais,Gale crater,Gale crater
2212,Ai_Ais,Gale crater,Gale crater
2213,Ai_Ais,Gale crater,Gale crater
2214,Ai_Ais,Gale crater,Gale crater
2215,Koes,Gale crater,Gale crater
2216,Koes,Gale crater,Gale crater
2217,Koes,Gale crater,Gale crater
2218,Koes,Gale crater,Gale crater
2219,Koes,Gale crater,Gale crater
2220,Onawa,Gale crater,Gale crater
2221,Khoabendus,Gale crater,Gale crater
2222,Khoabendus,Gale crater,Gale crater
2223,Berseba,Gale crater,Gale crater
2224,Berseba,Gale crater,Gale crater
2225,Berseba,Gale crater,Gale crater
2226,Berseba,Gale crater,Gale crater
2227,Berseba,Gale crater,Gale crater
2228,Epembe,Gale crater,Gale crater
2229,Epembe,Gale crater,Gale crater
2230,Epembe,Gale crater,Gale crater
2231,Epembe,Gale crater,Gale crater
2232,Epembe,Gale crater,Gale crater
2233,Noordoewer,Gale crater,Gale crater
2234,Arandis,Gale crater,Gale crater
2235,Arandis,Gale crater,Gale crater
2236,Arandis,Gale crater,Gale crater
2237,Arandis,Gale crater,Gale crater
2238,aegis_post_1400a,Gale crater,Gale crater
2239,aegis_post_1400a,Gale crater,Gale crater
2240,aegis_post_1400a,Gale crater,Gale crater
2241,Aussenkehr,Gale crater,Gale crater
2242,Aussenkehr,Gale crater,Gale crater
2243,Aussenkehr,Gale crater,Gale crater
2244,Aussenkehr,Gale crater,Gale crater
2245,Aussenkehr,Gale crater,Gale crater
2246,Aussenkehr,Gale crater,Gale crater
2247,Canico,Gale crater,Gale crater
2248,Canico,Gale crater,Gale crater
2249,Canico,Gale crater,Gale crater
2250,Chinchimane,Gale crater,Gale crater
2251,Chinchimane,Gale crater,Gale crater
2252,Chinchimane,Gale crater,Gale crater
2253,Chinchimane,Gale crater,Gale crater
2254,Chinchimane,Gale crater,Gale crater
2255,aegis_post_1406a,Gale crater,Gale crater
2256,aegis_post_1406a,Gale crater,Gale crater
2257,aegis_post_1406a,Gale crater,Gale crater
2258,Lucala,Gale crater,Gale crater
2259,Cabamba,Gale crater,Gale crater
2260,Cabamba,Gale crater,Gale crater
2261,Cabamba,Gale crater,Gale crater
2262,Cabamba,Gale crater,Gale crater
2263,Cabamba,Gale crater,Gale crater
2264,Bungo,Gale crater,Gale crater
2265,Bungo,Gale crater,Gale crater
2266,Bungo,Gale crater,Gale crater
2267,Bungo,Gale crater,Gale crater
2268,Bungo,Gale crater,Gale crater
2269,Bungo,Gale crater,Gale crater
2270,Bungo,Gale crater,Gale crater
2271,Sonneblom_ccam,Gale crater,Gale crater
2272,Sonneblom_ccam,Gale crater,Gale crater
2273,Sonneblom_ccam,Gale crater,Gale crater
2274,Balombo,Gale crater,Gale crater
2275,Balombo,Gale crater,Gale crater
2276,Balombo,Gale crater,Gale crater
2277,Balombo,Gale crater,Gale crater
2278,Balombo,Gale crater,Gale crater
2279,Balombo,Gale crater,Gale crater
2280,Balombo,Gale crater,Gale crater
2281,Balombo,Gale crater,Gale crater
2282,Balombo,Gale crater,Gale crater
2283,Seeheim,Gale crater,Gale crater
2284,Seeheim,Gale crater,Gale crater
2285,Wilhelmstal,Gale crater,Gale crater
2286,Wilhelmstal,Gale crater,Gale crater
2287,Wilhelmstal,Gale crater,Gale crater
2288,Wilhelmstal,Gale crater,Gale crater
2289,Wilhelmstal,Gale crater,Gale crater
2290,Oranjemund,Gale crater,Gale crater
2291,Oranjemund,Gale crater,Gale crater
2292,Oranjemund,Gale crater,Gale crater
2293,Oranjemund,Gale crater,Gale crater
2294,Oranjemund,Gale crater,Gale crater
2295,Oranjemund,Gale crater,Gale crater
2296,Oranjemund,Gale crater,Gale crater
2297,Oranjemund,Gale crater,Gale crater
2298,Oranjemund,Gale crater,Gale crater
2299,Seeis,Gale crater,Gale crater
2300,Seeis,Gale crater,Gale crater
2301,Seeis,Gale crater,Gale crater
2302,Seeis,Gale crater,Gale crater
2303,Mariental,Gale crater,Gale crater
2304,Mariental,Gale crater,Gale crater
2305,Mariental,Gale crater,Gale crater
2306,Mariental,Gale crater,Gale crater
2307,Matala,Gale crater,Gale crater
2308,Klein_Klipneus,Gale crater,Gale crater
2309,Conda_ccam,Gale crater,Gale crater
2310,Quibala,Gale crater,Gale crater
2311,Quibala,Gale crater,Gale crater
2312,Quibaxe,Gale crater,Gale crater
2313,Waku_Kungo,Gale crater,Gale crater
2314,Viana_2,Gale crater,Gale crater
2315,Ganda_ccam,Gale crater,Gale crater
2316,Ganda_ccam,Gale crater,Gale crater
2317,Catabola,Gale crater,Gale crater
2318,Muchinda,Gale crater,Gale crater
2319,Muchinda,Gale crater,Gale crater
2320,Luxilo,Gale crater,Gale crater
2321,Luxilo,Gale crater,Gale crater
2322,Luxilo,Gale crater,Gale crater
2323,aegis_post_1449a,Gale crater,Gale crater
2324,aegis_post_1449a,Gale crater,Gale crater
2325,Gabela,Gale crater,Gale crater
2326,Gabela,Gale crater,Gale crater
2327,Donkerbos,Gale crater,Gale crater
2328,Donkerbos,Gale crater,Gale crater
2329,Humpata,Gale crater,Gale crater
2330,Humpata,Gale crater,Gale crater
2331,Humpata,Gale crater,Gale crater
2332,Humpata,Gale crater,Gale crater
2333,aegis_post_1455a,Gale crater,Gale crater
2334,aegis_post_1455a,Gale crater,Gale crater
2335,Uutapi,Gale crater,Gale crater
2336,Uutapi,Gale crater,Gale crater
2337,Uutapi,Gale crater,Gale crater
2338,Uutapi,Gale crater,Gale crater
2339,Uutapi,Gale crater,Gale crater
2340,Uutapi,Gale crater,Gale crater
2341,Uutapi,Gale crater,Gale crater
2342,Uutapi,Gale crater,Gale crater
2343,Eenhana,Gale crater,Gale crater
2344,Ombomboli_2,Gale crater,Gale crater
2345,Cuimba_ccam,Gale crater,Gale crater
